gseID	geneChip
GSE33692	Affymetrix Human Exon 1.0 ST Array [transcript (gene) version]
GSE86374	Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE58644	Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE118432	Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE59772	Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE81838	Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE6434	Affymetrix Human Genome U95 Version 2 Array
GSE7378	Affymetrix GeneChip HT-HG_U133A Early Access Array
GSE24185	Affymetrix Human Genome U133A Array
GSE20194	Affymetrix Human Genome U133A Array
GSE20271	Affymetrix Human Genome U133A Array
GSE20181	Affymetrix Human Genome U133A Array
GSE11121	Affymetrix Human Genome U133A Array
GSE1561	Affymetrix Human Genome U133A Array
GSE2603	Affymetrix Human Genome U133A Array
GSE2990	Affymetrix Human Genome U133A Array
GSE7390	Affymetrix Human Genome U133A Array
GSE31519	Affymetrix Human Genome U133A Array
GSE12093	Affymetrix Human Genome U133A Array
GSE17705	Affymetrix Human Genome U133A Array
GSE2034	Affymetrix Human Genome U133A Array
GSE25055	Affymetrix Human Genome U133A Array
GSE25065	Affymetrix Human Genome U133A Array
GSE5327	Affymetrix Human Genome U133A Array
GSE4611	Affymetrix Human Genome U133A Array
GSE46184	Affymetrix Human Genome U133A Array
GSE16873	Affymetrix Human Genome U133A Array
GSE20437	Affymetrix Human Genome U133A Array
GSE21947	Affymetrix Human Genome U133A Array
GSE5847	Affymetrix Human Genome U133A Array
GSE9574	Affymetrix Human Genome U133A Array
GSE32518	Affymetrix Human Genome U133A Array
GSE45255	Affymetrix Human Genome U133A Array
GSE10797	Affymetrix Human Genome U133A 2.0 Array
GSE57968	Affymetrix Human Genome U133A 2.0 Array
GSE17907	Affymetrix Human Genome U133 Plus 2.0 Array
GSE48390	Affymetrix Human Genome U133 Plus 2.0 Array
GSE76275	Affymetrix Human Genome U133 Plus 2.0 Array
GSE19697	Affymetrix Human Genome U133 Plus 2.0 Array
GSE5460	Affymetrix Human Genome U133 Plus 2.0 Array
GSE32646	Affymetrix Human Genome U133 Plus 2.0 Array
GSE50948	Affymetrix Human Genome U133 Plus 2.0 Array
GSE22513	Affymetrix Human Genome U133 Plus 2.0 Array
GSE28821	Affymetrix Human Genome U133 Plus 2.0 Array
GSE7904	Affymetrix Human Genome U133 Plus 2.0 Array
GSE16391	Affymetrix Human Genome U133 Plus 2.0 Array
GSE16446	Affymetrix Human Genome U133 Plus 2.0 Array
GSE19615	Affymetrix Human Genome U133 Plus 2.0 Array
GSE12276	Affymetrix Human Genome U133 Plus 2.0 Array
GSE18864	Affymetrix Human Genome U133 Plus 2.0 Array
GSE20711	Affymetrix Human Genome U133 Plus 2.0 Array
GSE9195	Affymetrix Human Genome U133 Plus 2.0 Array
GSE20685	Affymetrix Human Genome U133 Plus 2.0 Array
GSE21653	Affymetrix Human Genome U133 Plus 2.0 Array
GSE10780	Affymetrix Human Genome U133 Plus 2.0 Array
GSE111662	Affymetrix Human Genome U133 Plus 2.0 Array
GSE26910	Affymetrix Human Genome U133 Plus 2.0 Array
GSE31192	Affymetrix Human Genome U133 Plus 2.0 Array
GSE5764	Affymetrix Human Genome U133 Plus 2.0 Array
GSE8977	Affymetrix Human Genome U133 Plus 2.0 Array
GSE90521	Affymetrix Human Genome U133 Plus 2.0 Array
GSE31138	Affymetrix Human Genome U133 Plus 2.0 Array
GSE120129	Affymetrix Human Genome U133 Plus 2.0 Array
GSE20086	Affymetrix Human Genome U133 Plus 2.0 Array
GSE58984	Affymetrix Human Genome U133 Plus 2.0 Array
GSE167213	Affymetrix Human Genome U133 Plus 2.0 Array
GSE8193	Affymetrix GeneChip HT-HG_U133A Early Access Array
GSE10281	Affymetrix Human Genome U133 Plus 2.0 Array
GSE10810	Affymetrix Human Genome U133 Plus 2.0 Array
GSE11001	Affymetrix Human Genome U133 Plus 2.0 Array
GSE12763	Affymetrix Human Genome U133 Plus 2.0 Array
GSE13787	Affymetrix Human Genome U133 Plus 2.0 Array
GSE14017	Affymetrix Human Genome U133 Plus 2.0 Array
GSE14018	Affymetrix Human Genome U133A Array
GSE18728	Affymetrix Human Genome U133 Plus 2.0 Array
GSE21422	Affymetrix Human Genome U133 Plus 2.0 Array
GSE22093	Affymetrix Human Genome U133A Array
GSE22544	Affymetrix Human Genome U133 Plus 2.0 Array
GSE23720	Affymetrix Human Genome U133 Plus 2.0 Array
GSE23988	Affymetrix Human Genome U133A Array
GSE25407	Affymetrix Human Genome U133 Plus 2.0 Array
GSE27562	Affymetrix Human Genome U133 Plus 2.0 Array
GSE29431	Affymetrix Human Genome U133 Plus 2.0 Array
GSE31448	Affymetrix Human Genome U133 Plus 2.0 Array
GSE41194	Affymetrix Human Genome U95 Version 2 Array
GSE41196	Affymetrix Human Genome U95 Version 2 Array
GSE41197	Affymetrix Human Genome U95 Version 2 Array
GSE42568	Affymetrix Human Genome U133 Plus 2.0 Array
GSE43365	Affymetrix Human Genome U133 Plus 2.0 Array
GSE47109	Affymetrix Human Genome U133 Plus 2.0 Array
GSE61304	Affymetrix Human Genome U133 Plus 2.0 Array
GSE93332	Affymetrix Human Genome U133 Plus 2.0 Array